Iron chelating chemical used in bacterial siderophore studies .	Iron chelating chemical used in bacterial studies .
In the Shapsug and Abzakh dialects of Adyghe they become labiopalatalized [ tʃʷ , [ ʃʷ ] and [ ʒʷ ] , and in Kabardian they become labiodental consonants [ f , .	In Shapsug , Bzhedug and Abzakh dialects of Adyghe they become labiopalatalized [ ʃʷ and [ ʒʷ ] , and in Kabardian they become labiodental consonants [ f , .
In most other Circassian dialects they were merged with , and .	In other Circassian dialects they were merged with , and .
The consonants glottal stop [ ʔ ] and labialized glottal stop [ ʔʷ ] in Proto - Circassian came from uvular ejective and labialized uvular ejective [ qʷʼ.	The consonants glottal stop [ ʔ ] and labialized glottal stop [ ʔʷ ] in Proto - Circassian may have come from uvular ejective and labialized uvular ejective [ qʷʼ.
In the Hakuchi dialect it is pronouced as and [ qʷʼ.	In the Hakuchi dialect it is pronounced as and [ qʷʼ.
Labiodental is found also in Adyghe , but there it derives from the Proto - Circassian labialized voiceless velar fricative * [ xʷ ] , which survives in the East Circassian dialects ( e.g.	Labiodental is found also in Adyghe , but there it derives from the Proto - Circassian labialized voiceless velar fricative [ xʷ ] , which survived in the East Circassian dialects ( e.g.
Kfar Kama dialect ) , in the Besleney dialectand in the Uzunyayla dialect .	Kfar Kama dialect ) , in the Besleney dialect and in the Uzunyayla dialect .
In the Temirgoy dialect they become къ and къу while in Shapsug dialect they become хъ and хъу [ χʷ.	In the Temirgoy dialect they become къ and къу while in some Shapsug dialects they become хъ and хъу [ χʷ.
In other words , Lowland Adyghe retains the distinction between * a and * ǝ in the 2nd syllable , if it was originally stressed	In other words , Adyghe retains the distinction between * a and * ǝ in the 2nd syllable , if it was originally stressed
Kabardian Adyghe retains the distinction uniformly , by dropping * ǝ but not * a.	Kabardian retains the distinction uniformly , by dropping * ǝ but not * a.
Proto - Circassian plain voiceless alveolo - palatal affricate чь also become чъ in the Temirgoy and Bzhedug sub - dialects , ш in the Abzakh sub - dialect but ж in the Kabardian Adyghe dialect .	Proto - Circassian plain voiceless alveolo - palatal affricate чь also become чъ in the Temirgoy and Bzhedug dialect , ш in the Abzakh dialect but ж in the Kabardian dialect .
In Kabardian Adyghe they became affricate voiceless uvular affricate and labialized voiceless uvular affricate [ q͡χʷ .	In Kabardian they became affricate voiceless uvular affricate and labialized voiceless uvular affricate [ q͡χʷ .
In the Proto - Circassian there existed an alveolar lateral ejective affricate * This consonant survived in the Besleney sub - dialect of the Kabardian Adyghe dialect .	In the Proto - Circassian there existed an alveolar lateral ejective affricate * This consonant survived in the Besleney dialect of Kabardian .
There also existed voiced alveolar lateral affricate * that become [ ɣ in Adyghe and [ ʒ ] in Kabardian and a palatalized voiced velar fricative * [ ɣʲ ] that become [ ɣ ] in Lowland Adyghe and [ ʑ ] in Kabardian Adyghe .	There also existed voiced alveolar lateral affricate * that become [ ɣ in Adyghe and [ ʒ ] in Kabardian and a palatalized voiced velar fricative * [ ɣʲ ] that become [ ɣ ] in Adyghe and [ ʑ ] in Kabardian .
The Proto - Circassian language did not had labiodental consonants ( ф and в ) .	The Proto - Circassian language did not have labiodental consonants ( ф and в ) .
It lies along the Mitumba Mountains and includes parts of the administrative territories of Walungu , Kabare , Kalehe , Mwenga , and Uvira surrounding but not including the city of Bukavu .	It lies along the Mitumba Mountains and includes parts of the administrative territories of Walungu , Kabare , Kalehe , and Mwenga , and Uvira surrounding but not including the city of Bukavu .
There around 4 million inhabitants in the region .	There are around 4 million inhabitants in the region .
Bushi is a traditional region and an ethnic group in the eastern part of the Democratic Republic of the Congo	Bushi is a traditional region and an ethnic group in the eastern part of the Democratic Republic of the Congo(formerly Zaire )
the Banyarwanda / Barundi people in the East	the Banyarwanda / Barundi people in the Eastern
but there are more and more businesmen	but there are more and more distinguished businesmen
There are around 4 million inhabitants in the region;speaking the Mashi or Shi language .	There are about 4 million inhabitants in the region;speaking the Mashi or Shi language .
The Bushi is also a chiefdom that is organized into many localities or sub - chiefdoms .	The Bushi is also a kingdom that is organized into many localities or sub - chiefdoms .
politicians and other intellectuals from this important ethnic group of the Kivu region . The mwami Kabare Ndatabaye is the King of this people .	politicians and other intellectuals from this important ethnic group of the Kivu region . The mwami Kabare is the King of this people .
